artist_id,artist_name,total_followers,genres,popularity
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1785336,"['hip hop', 'pop', 'portland hip hop', 'rap', 'underground hip hop']",70
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,1261203,"['dance pop', 'edm', 'pop', 'pop rap']",70
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,1940948,"['danish pop', 'pop', 'scandipop']",70
05o1zW8b6PV6rEquXr74sB,State of Sound,44485,"['deep tropical house', 'swedish tropical house', 'tropical house']",40
5y2Xq6xcjJb2jVM54GHK3t,John Legend,6179610,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",76
5WUlDfRSoLAfcVSX1WnrxN,Sia,23385381,"['australian dance', 'australian pop', 'pop']",82
4BNWanhw4AjSXjBm9L1Jzy,Juris,653846,['opm'],53
6T5tfhQCknKG4UnH90qGnz,DNCE,4181458,"['dance pop', 'pop', 'post-teen pop']",70
2kZThDGZcHl4klYYFk0v8n,Moonstar88,816089,"['opm', 'pinoy rock', 'pop rock']",51
4dpARuHxo51G3z768sgnrY,Adele,38430158,"['british soul', 'pop', 'pop soul', 'uk pop']",84
4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,14879,['opm'],34
0bdfiayQAKewqEvaU6rXCv,MØ,1379619,"['art pop', 'dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']",69
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,11399298,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",74
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,2927814,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",77
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,36015637,"['permanent wave', 'pop']",86
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,33997682,['electro house'],80
5M0lbkGluOPXLeFjApw8r8,Shelley FKA DRAM,817661,"['pop rap', 'rap', 'virginia hip hop']",61
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,22475379,"['modern rock', 'rock']",79
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,3087892,['opm'],55
2tQbSWgZLIB8MXMnsXVRro,Nina,582776,['opm'],53
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,149232,['opm'],47
5elcNQkZ6FCZA3grSOMngY,MYMP,886737,['opm'],57
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,808943,"['dance pop', 'hyphy', 'pop rap', 'southern hip hop']",64
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,914145,['tropical house'],64
6ZgBJRjJsK1iOJGKGZxEUv,South Border,826067,['opm'],55
24fEOzlKhgSNLIcy9NdmwH,James Reid,310102,"['deep neofolk', 'opm', 'pinoy r&b']",52
3nZa8vRD64ueq3d0JNYTsl,6cyclemind,931500,"['opm', 'pinoy rock', 'pop rock']",50
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,48714224,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']",87
6s22t5Y3prQHyaHWUN1R1C,AJR,2236468,['modern rock'],74
2wY79sveU1sp5g7SokKOiI,Sam Smith,19545474,"['dance pop', 'pop', 'uk pop']",81
4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,592365,['opm'],52
21E3waRsmPlU7jZsS13rcj,Ne-Yo,7134581,"['dance pop', 'pop', 'r&b', 'urban contemporary']",77
0ekbDNE2eOq8QiaXM34wer,Howie Day,298409,"['acoustic pop', 'neo mellow', 'pop rock']",54
2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,207010,['opm'],44
0jarApAsbmiCkYhz0590mE,Freestyle,198027,"['opm', 'pop rock']",55
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,8532324,"['dance pop', 'pop', 'post-teen pop']",75
3C4t1usFGoKHCSRdujm2GN,Ryan Cabrera,76070,"['neo mellow', 'pop rock', 'post-teen pop']",46
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,896234,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'urban contemporary']",60
4AK6F7OLvEQ5QYCBNiQWHq,One Direction,26091892,"['boy band', 'pop', 'post-teen pop', 'talent show']",83
6ydoSd3N2mwgwBHtF6K7eX,Calum Scott,4228247,"['neo mellow', 'pop']",78
0EmeFodog0BfCgMzAIvKQp,Shakira,23650668,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",82
3wjsrpfO6odEphTZWx45RQ,Hearts & Colors,125004,"['channel pop', 'neo mellow', 'viral pop']",52
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,2223425,"['neo mellow', 'permanent wave', 'pop rock']",70
0jNDKefhfSbLR9sFvcPLHo,San Holo,660540,"['edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'pop dance', 'pop edm', 'vapor twitch']",59
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,7293059,"['dance pop', 'electropop', 'pop', 'post-teen pop']",76
3AQRLZ9PuTAozP28Skbq8V,The Script,7286758,"['celtic rock', 'dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock']",72
2mxe0TnaNL039ysAj51xPQ,R. Kelly,2431202,[],66
5oWOx0BBDSMoFB8JDrjQre,Katharine McPhee,166680,"['dance pop', 'idol', 'post-teen pop']",50
55fhWPvDiMpLnE4ZzNXZyW,Noah Cyrus,983072,"['dance pop', 'pop', 'post-teen pop']",70
6oMuImdp5ZcFhWP0ESe6mG,Migos,12366476,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",77
5H6xmHXjsq98NLbEjuE29f,NEIKED,114009,['scandipop'],68
6w7j5wQ5AI5OQYlcM15s2L,Extreme,440240,"['album rock', 'funk metal', 'glam metal', 'hard rock', 'rock']",60
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,5654741,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",75
02kJSzxNuaWGqwubyUba0Z,G-Eazy,5067589,"['indie pop rap', 'oakland hip hop', 'pop', 'pop rap', 'rap']",76
6X9aYHnQ75YI8o08aoa0iS,Boyzone,882688,"['boy band', 'dance pop', 'europop', 'soft rock']",60
4ehtJnVumNf6xzSCDk8aLB,Martin Jensen,1241589,"['dance pop', 'danish electronic', 'deep house', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",67
0t7vWPRBcVv4xBEHPZHSWA,Sitti,72160,['opm'],46
1vSN1fsvrzpbttOYGsliDr,Tori Kelly,2033059,"['dance pop', 'pop']",67
5ILrArfIV0tMURcHJN8Q07,Vanessa Carlton,538445,"['lilith', 'neo mellow', 'piano rock', 'pop rock', 'post-teen pop']",62
6dC0rIJNLSFZwqckLgXJ8p,Timeflies,322387,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']",57
69ug07KFFRhcCZ7iZ1Mn1i,Bailey May,57968,[],29
2Rf4X6m0oayCJhaJ5K63GQ,Nathan Sykes,472640,['post-teen pop'],55
5X4LWwbUFNzPkEas04uU82,DVBBS,984624,"['canadian electronic', 'dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']",63
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,35258295,"['dance pop', 'pop', 'post-teen pop']",80
36jaGQtMj5UWD0eO1fCVdD,Joel Adams,162879,"['australian pop', 'pop soul']",54
5PokPZn11xzZXyXSfnvIM3,Lifehouse,1798231,"['alternative metal', 'neo mellow', 'pop rock', 'post-grunge']",63
5aMmmNxw4vgpc5XC6hK0zp,The Calling,652090,"['neo mellow', 'pop rock']",60
2FwJwEswyIUAljqgjNSHgP,Snakehips,341881,"['edm', 'electropop', 'pop', 'pop dance', 'tropical house']",63
0AJUYWKztkg5dnrHDIBv47,MiC LOWRY,47501,[],36
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,6664901,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",72
7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2583322,"['opm', 'pinoy reggae', 'pinoy rock']",60
6aZyMrc4doVtZyKNilOmwu,Colbie Caillat,2341382,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",67
3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,93251,['opm'],44
6wPhSqRtPu1UhRCDX5yaDJ,The Pussycat Dolls,5075887,"['dance pop', 'girl group', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']",69
2WzaAvm2bBCf4pEhyuDgCY,Ruth B.,1822321,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",75
7xEFii6utZmQ61kX59HmLH,FRENSHIP,173501,"['electropop', 'indie electropop', 'indie poptimism', 'la pop', 'pop dance', 'pop rock', 'tropical house']",55
7DW4ijH3n36QN0RlC0n649,Angeline Quinto,517980,['opm'],55
5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,52220,"['australian pop', 'australian talent show']",50
4PVn1b2WnnXdq80C7uaZLZ,Nause,195147,"['edm', 'pop dance', 'progressive electro house', 'swedish pop']",46
0jnsk9HBra6NMjO2oANoPY,Flo Rida,8549339,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",77
0hEurMDQu99nJRq8pTxO14,John Mayer,5520050,"['neo mellow', 'singer-songwriter']",77
7H55rcKCfwqkyDFH9wpKM6,Christina Perri,3289639,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",70
1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ,283121,"['alt z', 'art pop', 'brooklyn indie', 'dark pop', 'electropop', 'indie electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'nyc pop', 'pop', 'vapor pop', 'vapor soul']",52
5BAyYwbv8OSfqeXMjPgWX6,Toni Gonzaga,673330,"['opm', 'papuri']",51
0DdDnziut7wOo6cAYWVZC5,KREAM,201405,"['dance pop', 'deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']",63
6Ww3OMFzCaO33ulKh1LBFN,Hale,758483,"['opm', 'pinoy reggae', 'pinoy rock', 'pop rock']",58
2nZ18B9RTjJH56v2NTnNAI,Leanne & Naara,57164,"['opm', 'pinoy indie']",46
6nxWCVXbOlEVRexSbLsTer,Flume,2280114,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",73
4TH4BHy0LdBi3dpBW4P2UX,R. City,125781,"['reggae fusion', 'virgin islands reggae']",61
5mnS9jJdKQQcRSqFu5YPVe,Auli'i Cravalho,87912,"['disney', 'hollywood', 'movie tunes', 'show tunes']",62
2LJxr7Pt3JnP60eLxwbDOu,Mandy Moore,647248,"['dance pop', 'hollywood', 'post-teen pop']",62
0lzV2CiahHRiGd6qpADtPS,James Hersey,51535,[],49
4bYPcJP5jwMhSivRcqie2n,Adam Levine,946034,['deep talent show'],72
62WbvkXqQGvXQvw74GU3kQ,Morissette,1048084,['opm'],52
0gadJ2b9A4SKsB1RFkBb66,Passenger,2982012,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",70
6jJ0s89eD6GaHleKKya26X,Katy Perry,21483342,"['dance pop', 'pop', 'post-teen pop']",83
5mNum7eUoqWS6NBo91NYHP,Abra,23235,[],11
